Women's: 
1. Team  Stanford: Score 16689.5, NCAA appearances 40, Average ranking 2.8
78. Team  UT Arlington: Score 173.0, NCAA appearances 6, Average ranking 19.33
79. Team  Cornell: Score 171.0, NCAA appearances 16, Average ranking 24.81
80. Team  Syracuse: Score 170.5, NCAA appearances 13, Average ranking 28.85
81. Team  Oklahoma: Score 165.0, NCAA appearances 18, Average ranking 14.89
82. Team  Eastern Mich: Score 147.0, NCAA appearances 12, Average ranking 33.17
83. Team  Air Force: Score 142.0, NCAA appearances 15, Average ranking 28.93
84. Team  Fla Atlantic: Score 130.0, NCAA appearances 6, Average ranking 31.0
85. Team  American: Score 128.0, NCAA appearances 6, Average ranking 27.5
86. Team  Brown: Score 128.0, NCAA appearances 11, Average ranking 23.36
87. Team  UC Irvine: Score 127.0, NCAA appearances 9, Average ranking 31.33
88. Team  Southern Cal: Score 127.0, NCAA appearances 1, Average ranking 12.0
89. Team  Ohio: Score 125.5, NCAA appearances 12, Average ranking 25.5
90. Team  George Mason: Score 122.0, NCAA appearances 7, Average ranking 31.29
91. Team  Towson: Score 113.0, NCAA appearances 9, Average ranking 34.44
92. Team  Rice: Score 97.0, NCAA appearances 7, Average ranking 31.57
93. Team  Oakland: Score 87.5, NCAA appearances 9, Average ranking 33.11
94. Team  Western Ky: Score 85.5, NCAA appearances 6, Average ranking 30.83
95. Team  Furman: Score 85.0, NCAA appearances 2, Average ranking 18.5
96. Team  San Diego St: Score 71.0, NCAA appearances 10, Average ranking 35.1
97. Team  FGCU: Score 70.5, NCAA appearances 5, Average ranking 35.6
98. Team  Wesleyan (CT): Score 62.5, NCAA appearances 5, Average ranking 19.4
99. Team  IUPUI: Score 59.0, NCAA appearances 4, Average ranking 32.5
100. Team  San Jose St: Score 58.0, NCAA appearances 6, Average ranking 23.33
101. Team  Pepperdine: Score 55.5, NCAA appearances 4, Average ranking 24.25
102. Team  University of Miami: Score 54.0, NCAA appearances 1, Average ranking 19.0
103. Team  UMBC: Score 50.5, NCAA appearances 3, Average ranking 32.0
104. Team  Wayne St (MI): Score 46.0, NCAA appearances 4, Average ranking 9.0
105. Team  Washington St: Score 46.0, NCAA appearances 8, Average ranking 28.75
106. Team  Fresno St: Score 44.0, NCAA appearances 7, Average ranking 35.71
107. Team  Boston U: Score 42.0, NCAA appearances 3, Average ranking 29.0
108. Team  Milwaukee: Score 41.0, NCAA appearances 2, Average ranking 29.0
109. Team  Richmond: Score 39.5, NCAA appearances 5, Average ranking 37.2
110. Team  La Salle: Score 38.0, NCAA appearances 6, Average ranking 15.33
111. Team  Williams: Score 37.0, NCAA appearances 6, Average ranking 9.0
112. Team  Ball St: Score 37.0, NCAA appearances 3, Average ranking 32.0
113. Team  Tennesse: Score 35.0, NCAA appearances 1, Average ranking 22.0
114. Team  Toledo: Score 34.0, NCAA appearances 5, Average ranking 38.6
115. Team  Flordia St: Score 32.5, NCAA appearances 1, Average ranking 23.0
116. Team  FIU: Score 30.0, NCAA appearances 3, Average ranking 35.0
117. Team  Massachusetts: Score 29.0, NCAA appearances 4, Average ranking 22.5
118. Team  UNCW: Score 28.0, NCAA appearances 3, Average ranking 30.67
119. Team  UMass: Score 28.0, NCAA appearances 1, Average ranking 27.0
120. Team  Central Conn St: Score 27.0, NCAA appearances 2, Average ranking 30.0
121. Team  Illinois St: Score 27.0, NCAA appearances 2, Average ranking 37.0
122. Team  PennSt: Score 26.0, NCAA appearances 1, Average ranking 29.0
123. Team  Northeastern: Score 25.5, NCAA appearances 5, Average ranking 35.2
124. Team  SUNY Cortland: Score 23.0, NCAA appearances 3, Average ranking 12.67
125. Team  Grand Canyon: Score 23.0, NCAA appearances 2, Average ranking 33.5
126. Team  Springfield: Score 22.0, NCAA appearances 4, Average ranking 11.5
127. Team  George Washington: Score 22.0, NCAA appearances 3, Average ranking 36.0
128. Team  Northern Ariz: Score 22.0, NCAA appearances 1, Average ranking 29.0
129. Team  Gardner-Webb: Score 22.0, NCAA appearances 2, Average ranking 35.5
130. Team  Bowling Green: Score 20.0, NCAA appearances 8, Average ranking 27.0
131. Team  Cleveland St: Score 19.0, NCAA appearances 2, Average ranking 32.5
132. Team  Drexel: Score 17.0, NCAA appearances 5, Average ranking 40.6
133. Team  New Hampshire: Score 17.0, NCAA appearances 1, Average ranking 27.0
134. Team  Boise St: Score 17.0, NCAA appearances 3, Average ranking 40.67
135. Team  Cal Poly: Score 15.0, NCAA appearances 3, Average ranking 23.33
136. Team  Lafayette: Score 15.0, NCAA appearances 1, Average ranking 30.0
137. Team  ULM: Score 15.0, NCAA appearances 1, Average ranking 33.0
138. Team  Buffalo: Score 15.0, NCAA appearances 2, Average ranking 39.0
139. Team  Akron: Score 15.0, NCAA appearances 3, Average ranking 38.0
140. Team  Tulane: Score 14.0, NCAA appearances 2, Average ranking 31.5
141. Team  Penn St : Score 14.0, NCAA appearances 1, Average ranking 30.0
142. Team  Bowdoin: Score 13.0, NCAA appearances 4, Average ranking 15.0
143. Team  Old Dominion: Score 13.0, NCAA appearances 3, Average ranking 30.33
144. Team  Utah*: Score 13.0, NCAA appearances 1, Average ranking 30.0
145. Team  Texas Tech: Score 12.0, NCAA appearances 1, Average ranking 22.0
146. Team  Cal St Northridge: Score 12.0, NCAA appearances 1, Average ranking 36.0
147. Team  Amherst: Score 11.0, NCAA appearances 3, Average ranking 14.67
148. Team  Missouri St: Score 11.0, NCAA appearances 3, Average ranking 38.0
149. Team  Liberty: Score 11.0, NCAA appearances 2, Average ranking 43.5
150. Team  Occidental: Score 10.0, NCAA appearances 2, Average ranking 8.0
151. Team  William & Mary: Score 10.0, NCAA appearances 2, Average ranking 36.5
152. Team  Chicago: Score 9.0, NCAA appearances 2, Average ranking 8.5
153. Team  North Central (IL): Score 9.0, NCAA appearances 2, Average ranking 11.0
154. Team  9 Washington St: Score 9.0, NCAA appearances 1, Average ranking 27.0
155. Team  TCU: Score 9.0, NCAA appearances 3, Average ranking 38.67
156. Team  UConn: Score 9.0, NCAA appearances 3, Average ranking 41.33
157. Team  Houston 9: Score 9.0, NCAA appearances 1, Average ranking 30.0
158. Team  Canisius: Score 8.0, NCAA appearances 1, Average ranking 7.0
159. Team  Colgate: Score 8.0, NCAA appearances 5, Average ranking 26.8
160. Team  Bucknell: Score 7.0, NCAA appearances 2, Average ranking 35.0
161. Team  Oklahoma St: Score 7.0, NCAA appearances 2, Average ranking 27.0
162. Team  Franklin & Marshall: Score 6.0, NCAA appearances 3, Average ranking 11.67
163. Team  Rochester (NY): Score 6.0, NCAA appearances 1, Average ranking 8.0
164. Team  Clarion Maryl.5: Score 6.0, NCAA appearances 1, Average ranking 36.0
165. Team  Vanderbilt: Score 6.0, NCAA appearances 1, Average ranking 35.0
166. Team  San Diego: Score 6.0, NCAA appearances 1, Average ranking 38.0
167. Team  Kenyon: Score 5.0, NCAA appearances 3, Average ranking 15.0
168. Team  Johns Hopkins: Score 5.0, NCAA appearances 1, Average ranking 22.0
169. Team  Rensselaer: Score 4.0, NCAA appearances 2, Average ranking 13.5
170. Team  Beloit: Score 4.0, NCAA appearances 1, Average ranking 15.0
171. Team  Allegheny: Score 4.0, NCAA appearances 2, Average ranking 19.0
172. Team  Eastern Mich and Michigan St: Score 4.0, NCAA appearances 1, Average ranking 26.0
173. Team  Binghamton: Score 4.0, NCAA appearances 1, Average ranking 41.0
174. Team  Northwestern Notre Dame: Score 4.0, NCAA appearances 1, Average ranking 41.0
175. Team  Florida International: Score 4.0, NCAA appearances 1, Average ranking 47.0
176. Team  Notre Dam: Score 4.0, NCAA appearances 1, Average ranking 41.0
177. Team  UC Davis: Score 3.0, NCAA appearances 1, Average ranking 39.0
178. Team  Princeton Vanderbilt: Score 3.0, NCAA appearances 1, Average ranking 37.0
179. Team  Temple: Score 2.0, NCAA appearances 1, Average ranking 13.0
180. Team Texas: Score 2.0, NCAA appearances 1, Average ranking 16.0
181. Team  Knox: Score 2.0, NCAA appearances 2, Average ranking 19.0
182. Team  St Bonaventure: Score 2.0, NCAA appearances 1, Average ranking 38.0
183. Team  san Diego St: Score 2.0, NCAA appearances 1, Average ranking 44.0
184. Team  Hastings: Score 1.0, NCAA appearances 1, Average ranking 22.0
185. Team  Lehigh: Score 1.0, NCAA appearances 1, Average ranking 20.0
186. Team  Kansas St: Score 1.0, NCAA appearances 1, Average ranking 34.0
187. Team  Kent St: Score 1.0, NCAA appearances 1, Average ranking 34.0
188. Team  South Fla: Score 1.0, NCAA appearances 1, Average ranking 33.0
189. Team  CSU Bakersfield: Score 1.0, NCAA appearances 1, Average ranking 48.0
190. Team  Idaho: Score 0.2, NCAA appearances 1, Average ranking 37.0
